"","Base.Word","Level","Part.of.Speech","plurals.f.lemma"
"366","cabinet","A2","noun","cabinets"
"367","cafeteria","A2","noun","cafeterias"
"368","calendar","A2","noun","calendars"
"369","call","A2","noun","calls"
"372","candy","A2","noun","candies"
"374","capital","A2","noun","capitals"
"375","card","A2","noun","cards"
"376","carpet","A2","noun","carpets"
"377","carrot","A2","noun","carrots"
"378","cartoon","A2","noun","cartoons"
"380","cash","A2","noun","cashes"
"381","castle","A2","noun","castles"
"382","cathedral","A2","noun","cathedrals"
"383","ceiling","A2","noun","ceilings"
"384","cent","A2","noun","cents"
"385","center","A2","noun","centers"
"386","centimeter","A2","noun","centimeters"
"387","century","A2","noun","centuries"
"388","cereal","A2","noun","cereals"
"389","chain","A2","noun","chains"
"390","champagne","A2","noun","champagnes"
"391","change","A2","noun","changes"
"392","channel","A2","noun","channels"
"393","chat","A2","noun","chats"
"394","check","A2","noun","checks"
"395","chef","A2","noun","chefs"
"398","chicken","A2","noun","chickens"
"399","church","A2","noun","churches"
"400","cigarette","A2","noun","cigarettes"
"401","circle","A2","noun","circles"
"403","classmate","A2","noun","classmates"
"404","cleaner","A2","noun","cleaners"
"405","click","A2","noun","clicks"
"407","closet","A2","noun","closets"
"408","cloud","A2","noun","clouds"
"409","clown","A2","noun","clowns"
"410","club","A2","noun","clubs"
"411","cola","A2","noun","colas"
"412","cold","A2","noun","colds"
"413","colleague","A2","noun","colleagues"
"414","college","A2","noun","colleges"
"415","comb","A2","noun","combs"
"417","company","A2","noun","companies"
"419","competition","A2","noun","competitions"
"420","concert","A2","noun","concerts"
"421","contact","A2","noun","contacts"
"422","cook","A2","noun","cooks"
"423","cookie","A2","noun","cookies"
"425","corner","A2","noun","corners"
"426","cost","A2","noun","costs"
"427","course","A2","noun","courses"
"428","cousin","A2","noun","cousins"
"429","cream","A2","noun","creams"
"430","cricket","A2","noun","crickets"
"431","crowd","A2","noun","crowds"
"432","curry","A2","noun","curries"
"433","curtain","A2","noun","curtains"
"434","customer","A2","noun","customers"
"437","dancer","A2","noun","dancers"
"438","danger","A2","noun","dangers"
"439","day","A2","noun","days"
"440","deck","A2","noun","decks"
"441","degree","A2","noun","degrees"
"442","delay","A2","noun","delays"
"444","department","A2","noun","departments"
"445","desert","A2","noun","deserts"
"446","dessert","A2","noun","desserts"
"447","diary","A2","noun","diaries"
"448","difference","A2","noun","differences"
"449","dinosaur","A2","noun","dinosaurs"
"450","diploma","A2","noun","diplomas"
"451","directions","A2","noun","directions"
"452","disco","A2","noun","discos"
"453","discount","A2","noun","discounts"
"454","dish","A2","noun","dishes"
"455","document","A2","noun","documents"
"457","drawer","A2","noun","drawers"
"458","drawing","A2","noun","drawings"
"459","dream","A2","noun","dreams"
"460","dresser","A2","noun","dressers"
"461","drink","A2","noun","drinks"
"462","driver","A2","noun","drivers"
"463","drum","A2","noun","drums"
"464","duck","A2","noun","ducks"
"465","earring","A2","noun","earrings"
"468","elephant","A2","noun","elephants"
"469","elevator","A2","noun","elevators"
"470","end","A2","noun","ends"
"471","engine","A2","noun","engines"
"472","engineer","A2","noun","engineers"
"473","entrance","A2","noun","entrances"
"474","envelope","A2","noun","envelopes"
"475","euro","A2","noun","euros"
