plurals.f.lemma,Base.Word,COUNT.Base.Word
ambulances,ambulance,1
amounts,amount,1
angels,angel,1
animations,animation,1
ankles,ankle,1
announcements,announcement,1
ants,ant,1
antiques,antique,1
appearances,appearance,1
applications,application,1
architects,architect,1
architectures,architecture,1
arguments,argument,1
arrangements,arrangement,1
arrivals,arrival,1
articles,article,1
aspirins,aspirin,1
assignments,assignment,1
assistants,assistant,1
athletes,athlete,1
atmospheres,atmosphere,1
attacks,attack,1
attentions,attention,1
attitudes,attitude,1
attractions,attraction,1
audiences,audience,1
authors,author,1
averages,average,1
babysitters,babysitter,1
backaches,backache,1
backgrounds,background,1
backpackers,backpacker,1
backyards,backyard,1
bacons,bacon,1
bakers,baker,1
barbers,barber,1
barbershops,barbershop,1
bargains,bargain,1
baskets,basket,1
bathtubs,bathtub,1
battles,battle,1
bays,bay,1
bees,bee,1
beefs,beef,1
behaviors,behavior,1
benefits,benefit,1
blogs,blog,1
bloggers,blogger,1
borders,border,1
brakes,brake,1
breasts,breast,1
breezes,breeze,1
broccolis,broccoli,1
brochures,brochure,1
buckets,bucket,1
bugs,bug,1
builders,builder,1
bulbs,bulb,1
bulls,bull,1
butchers,butcher,1
buttons,button,1
buyers,buyer,1
cabs,cab,1
cabbages,cabbage,1
cages,cage,1
calculators,calculator,1
camels,camel,1
camps,camp,1
campsites,campsite,1
canals,canal,1
cancers,cancer,1
candles,candle,1
captains,captain,1
careers,career,1
caves,cave,1
celebrations,celebration,1
certificates,certificate,1
challenges,challenge,1
champions,champion,1
championships,championship,1
chances,chance,1
chapters,chapter,1
characters,character,1
checkouts,checkout,1
cheeks,cheek,1
chemists,chemist,1
childhoods,childhood,1
choices,choice,1
cinemas,cinema,1
cliffs,cliff,1
climates,climate,1
clinics,clinic,1
coasts,coast,1
coconuts,coconut,1
coins,coin,1
collars,collar,1
collections,collection,1
comments,comment,1
commercials,commercial,1
communications,communication,1
competitors,competitor,1
complaints,complaint,1
compositions,composition,1
conclusions,conclusion,1
conditions,condition,1
conferences,conference,1
connections,connection,1
consonants,consonant,1
contents,contents,1
contests,contest,1
continents,continent,1
contracts,contract,1
corns,corn,1
corrections,correction,1
cottages,cottage,1
cottons,cotton,1
coughs,cough,1
couples,couple,1
courts,court,1
covers,cover,1
creatures,creature,1
credits,credit,1
crews,crew,1
crimes,crime,1
criminals,criminal,1
crops,crop,1
crossings,crossing,1
cruises,cruise,1
cucumbers,cucumber,1
cultures,culture,1
cupboards,cupboard,1
curriculums,curriculum,1
cushions,cushion,1
customs,custom,1
cuts,cut,1
cyclists,cyclist,1
damages,damage,1
deaths,death,1
decisions,decision,1
decreases,decrease,1
defeats,defeat,1
defenses,defense,1
demands,demand,1
departures,departure,1
deposits,deposit,1
depths,depth,1
descriptions,description,1
designs,design,1
designers,designer,1
destinations,destination,1
details,detail,1
detectives,detective,1
developments,development,1
diagrams,diagram,1
diets,diet,1
directions,direction,1
directors,director,1
disadvantages,disadvantage,1
disappointments,disappointment,1
discussions,discussion,1
diseases,disease,1
dishwashers,dishwasher,1
disks,disk,1
displays,display,1
distances,distance,1
districts,district,1
divers,diver,1
dolphins,dolphin,1
donkeys,donkey,1
doubts,doubt,1
downloads,download,1
dozens,dozen,1
dramas,drama,1
drives,drive,1
drops,drop,1
drugstores,drugstore,1
dusts,dust,1
earaches,earache,1
earths,earth,1
economics,economics,1
edges,edge,1
educations,education,1
effects,effect,1
efforts,effort,1
elbows,elbow,1
elections,election,1
employees,employee,1
employers,employer,1
employments,employment,1
endings,ending,1
entertainments,entertainment,1
equipments,equipment,1
essays,essay,1
events,event,1
exchanges,exchange,1
excitements,excitement,1
excuses,excuse,1
exhibitions,exhibition,1
expeditions,expedition,1
experiments,experiment,1
experts,expert,1
explanations,explanation,1
extras,extra,1
fairs,fair,1
faucets,faucet,1
favors,favor,1
fears,fear,1
fees,fee,1
feelings,feeling,1
festivals,festival,1
fevers,fever,1
fictions,fiction,1
fights,fight,1
figures,figure,1
films,film,1
fines,fine,1
firefighters,firefighter,1
fireworks,firework,1
fitness,fitness,1
flags,flag,1
flavors,flavor,1
floods,flood,1
flours,flour,1
flutes,flute,1
folks,folk,1
fools,fool,1
forecasts,forecast,1
foreheads,forehead,1
foreigners,foreigner,1
fountains,fountain,1
frames,frame,1
freezers,freezer,1
fridges,fridge,1
friendships,friendship,1
frogs,frog,1
fuels,fuel,1
furs,fur,1
futures,future,1
garbages,garbage,1
generations,generation,1
ghosts,ghost,1
giraffes,giraffe,1
goalkeepers,goalkeeper,1
goats,goat,1
governments,government,1
graduations,graduation,1
graphics,graphics,1
greetings,greeting,1
groceries,groceries,1
grooms,groom,1
guards,guard,1
guitarists,guitarist,1
guns,gun,1
gymnastics,gymnastics,1
habits,habit,1
haircuts,haircut,1
hairdressers,hairdresser,1
hairstylists,hairstylist,1
handkerchiefs,handkerchief,1
happiness,happiness,1
harbors,harbor,1
headlines,headline,1
heaters,heater,1
heels,heel,1
heights,height,1
herbs,herb,1
hits,hit,1
holes,hole,1
honeymoons,honeymoon,1
hopes,hope,1
hostels,hostel,1
hugs,hug,1
humans,human,1
hungers,hunger,1
huts,hut,1
imaginations,imagination,1
immigrations,immigration,1
improvements,improvement,1
infinitives,infinitive,1
ingredients,ingredient,1
initials,initial,1
inks,ink,1
instructors,instructor,1
interests,interest,1
intermissions,intermission,1
interviews,interview,1
inventions,invention,1
irons,iron,1
ironings,ironing,1
issues,issue,1
items,item,1
jails,jail,1
jars,jar,1
jets,jet,1
jokes,joke,1
journalists,journalist,1
judges,judge,1
jumps,jump,1
jungles,jungle,1
kangaroos,kangaroo,1
keepers,keeper,1
kettles,kettle,1
killers,killer,1
killings,killing,1
kittens,kitten,1
knees,knee,1
knowledges,knowledge,1
labs,lab,1
labels,label,1
ladders,ladder,1
lambs,lamb,1
lands,land,1
landscapes,landscape,1
laughs,laugh,1
laws,law,1
lawyers,lawyer,1
leaders,leader,1
leagues,league,1
lectures,lecture,1
lengths,length,1
lettuces,lettuce,1
lies,lie,1
lighters,lighter,1
lightnings,lightning,1
links,link,1
lips,lip,1
liquids,liquid,1
literatures,literature,1
loans,loan,1
locations,location,1
locks,lock,1
logos,logo,1
looks,look,1
loves,love,1
lovers,lover,1
malls,mall,1
marriages,marriage,1
